Angle	Impulses
a/º	Z/#/0,2s

8,0	209,2
8,4	107,0
8,5	124,0
8,7	64,0
8,8	68,0
9,2	54,0
9,3	48,0
9,6	30,8
10,0	33,0
10,1	25,0
10,4	26,2
10,9	14,8
11,2	11,8
11,7	10,5
12,0	9,5
12,5	13,5
12,8	14,2
13,3	17,2
13,6	27,8
14,1	30,8
14,4	40,2
14,9	51,0
15,2	71,5
15,7	87,8
16,0	83,0
16,1	97,0
16,5	87,0
16,8	102,2
17,3	116,8
17,6	127,5
18,1	133,5
18,4	140,0
18,9	157,0
19,0	142,0
19,2	147,2
19,7	171,5
20,0	197,0
20,8	190,5
20,9	216,0
21,4	198,8
21,6	206,0
21,7	201,0
22,1	203,0
22,2	198,5
22,4	225,0
22,5	214,0
23,0	208,8
23,2	207,5
23,3	182,0
23,7	219,0
23,8	211,5
24,0	211,0
24,1	215,0
24,5	208,0
24,6	209,0
24,8	240,0
24,9	223,0
25,4	222,5
25,6	203,0
25,7	211,5
26,2	193,5
26,4	179,0
26,5	198,5
27,0	181,8
27,2	204,5
27,3	166,0
27,8	172,2
28,0	172,0
28,1	171,5
28,5	178,0
28,6	181,5
28,8	182,0
28,9	182,0
29,3	180,0
29,4	175,5
29,6	171,8
30,2	182,0
30,3	165,0
30,4	158,0
30,5	155,0
31,0	171,0
31,3	173,5
31,8	174,0
31,9	152,0
32,1	163,5
32,6	159,0
32,7	191,0
32,9	158,5
33,3	162,0
33,5	163,0
33,7	144,2
34,1	131,0
34,3	153,0
34,4	152,0
34,5	133,5
34,8	146,0
35,1	134,5
35,2	155,0
35,3	139,0
35,6	125,0
35,9	127,0
36,0	149,0
36,1	134,0
36,3	116,0
36,7	134,5
36,8	120,0
36,9	133,5
37,1	135,0
37,5	134,5
37,6	137,0
37,7	113,5
37,9	129,0
38,3	130,5
38,4	142,0
38,5	163,5
38,8	246,0
39,1	287,0
39,3	444,2
39,6	532,0
39,9	646,0
40,0	578,0
40,1	593,0
40,4	421,0
40,7	308,0
40,9	167,5
41,1	136,0
41,5	128,5
41,7	119,0
42,0	114,0
42,3	131,5
42,4	121,0
42,5	143,0
42,8	156,0
43,1	202,0
43,2	186,0
43,3	490,0
43,5	619,0
44,0	764,5
44,1	641,5
44,3	574,0
44,7	437,0
44,8	412,5
44,9	772,0
45,0	728,0
45,5	319,0
45,6	355,0
45,7	109,5
45,8	134,0
46,4	87,5
46,5	79,2
47,2	69,8
47,3	71,5
47,4	79,0
48,0	65,0
48,1	68,5
48,2	62,0
48,8	58,8
48,9	62,5
49,0	58,0
49,6	62,0
49,7	47,5
49,8	53,0
50,4	47,2
50,5	52,0
50,6	49,0
51,2	41,0
51,3	48,2
52,0	50,5
52,1	36,0
52,2	38,0
52,8	42,0
52,9	40,8
53,0	41,0
53,6	36,5
53,7	36,0
53,8	42,0
54,5	42,8
54,6	30,0
55,2	39,5
55,3	23,0
55,4	33,0
56,1	29,2
56,2	26,5
56,9	28,5
57,0	27,2
57,7	27,0
57,8	31,0
58,5	24,5
58,6	23,0
58,7	28,0
59,3	24,2
59,4	23,0
60,1	16,5
60,2	22,8
60,9	22,2
61,0	26,0
61,1	28,0
61,7	20,2
61,8	22,5
62,5	19,8
62,6	25,5
62,7	19,0
63,3	15,5
63,4	17,5
63,5	20,0
64,0	24,0
64,2	14,4
64,3	28,0
64,9	19,0
65,0	20,3
65,7	14,0
65,8	17,5
65,9	17,0
66,5	15,0
66,6	17,4
66,7	8,0
67,3	19,0
67,4	14,2
67,5	14,0
68,0	16,0
68,2	14,8
68,3	14,5
68,8	15,0
69,0	16,9
69,1	15,0
69,5	19,0
69,8	15,2
69,9	10,0
70,2	16,0
70,6	18,0
70,7	17,8
70,9	17,0
71,4	15,0
71,5	13,8
71,6	19,0
72,2	12,5
72,3	13,0
72,4	9,0
73,0	15,0
73,1	14,5
73,2	7,0
73,8	14,5
73,9	14,5
74,2	15,0
74,7	15,0
75,1	18,0
75,5	14,2
76,0	11,0
76,2	11,0
76,3	9,5
76,4	8,0
76,8	8,0
77,1	12,1
77,2	11,0
77,5	13,0
77,9	11,0
78,0	9,0
78,3	7,0
78,7	10,2
78,8	11,0
79,1	5,0
79,5	10,8
79,6	10,0
80,2	10,0
80,3	14,1
80,4	15,0
81,1	12,3
81,2	6,0
81,9	10,8
82,0	14,0
82,6	10,0
82,7	9,9
82,8	12,0
83,3	16,0
83,5	10,4
83,6	12,0
84,1	14,0
84,3	12,2
84,4	8,5
84,7	10,0
85,1	13,0
85,2	8,5
85,4	14,0
85,9	20,5
86,0	13,0
86,2	26,0
86,7	74,5
86,8	66,2
87,5	75,0
87,6	86,5
