Angle	Impulses
a/º	Z/#/0,2s

8,0	3,0
8,1	8,0
8,3	8,0
8,4	6,5
8,8	3,5
9,1	5,0
9,2	4,0
9,5	2,0
9,7	6,0
9,9	3,0
10,0	8,0
10,4	7,0
10,5	6,5
10,7	6,0
10,8	3,0
11,2	4,5
11,3	6,0
11,6	5,0
12,0	6,0
12,1	4,5
12,4	4,5
12,9	6,0
13,2	6,8
13,7	7,2
14,0	8,5
14,5	7,5
14,8	11,8
15,3	7,5
15,4	13,0
15,6	9,5
15,7	10,0
16,1	7,5
16,2	12,0
16,4	8,2
16,9	14,8
17,2	14,8
17,7	18,2
18,0	15,5
18,5	16,8
18,8	17,5
18,9	18,0
19,3	20,0
19,4	29,0
19,6	25,8
20,1	20,2
20,4	20,8
20,9	24,2
21,2	23,0
21,7	26,8
22,0	24,2
22,5	33,5
22,6	22,0
22,8	26,8
23,4	28,0
23,6	30,5
24,2	32,5
24,4	26,5
25,0	33,8
25,2	26,8
25,8	30,2
26,0	30,0
26,6	21,8
26,8	26,2
27,4	25,2
27,6	30,2
28,2	21,8
28,4	18,8
29,0	23,0
29,2	23,8
29,8	19,0
30,0	21,0
30,6	26,2
30,8	25,8
31,4	17,5
31,6	15,8
32,2	21,0
32,4	21,5
33,0	15,0
33,2	10,8
33,8	16,2
34,0	16,8
34,6	15,8
34,8	13,8
35,4	11,0
35,5	14,0
35,6	8,0
36,2	14,0
36,3	15,0
36,4	11,0
36,5	14,0
37,0	15,0
37,1	12,0
37,2	11,0
37,3	11,0
37,8	16,0
37,9	7,5
38,0	15,5
38,1	13,0
38,6	9,0
38,7	14,0
38,8	12,0
38,9	13,5
39,4	12,0
39,5	23,0
39,6	45,0
39,7	38,5
40,3	34,0
40,4	14,2
41,1	7,8
41,2	13,0
41,3	13,0
41,9	13,5
42,0	12,5
42,1	11,0
42,7	19,0
42,8	55,0
43,5	106,2
43,6	245,5
43,7	217,0
44,3	468,0
44,4	462,0
44,5	669,0
45,1	267,5
45,2	260,0
45,3	42,0
45,9	21,8
46,0	20,5
46,2	19,0
46,7	21,0
46,8	17,5
46,9	21,0
47,1	15,0
47,5	13,0
47,6	14,0
47,8	13,0
48,3	16,0
48,4	15,2
48,6	12,0
49,1	16,0
49,2	13,2
49,4	8,0
49,9	7,5
50,0	8,8
50,4	12,0
50,7	10,0
50,8	14,0
50,9	6,0
51,2	6,0
51,5	6,0
51,6	10,5
51,7	7,0
51,9	7,0
52,4	4,2
52,5	6,5
52,8	8,0
53,2	8,0
53,3	6,8
53,6	6,0
54,0	7,0
54,1	7,0
54,5	7,0
54,8	6,6
54,9	9,0
55,3	9,0
55,6	9,2
55,7	9,0
56,2	10,0
56,4	8,0
56,5	5,5
56,9	6,0
57,2	6,8
57,3	6,0
57,7	3,0
58,0	9,0
58,1	5,5
58,4	4,0
58,8	5,5
58,9	5,5
59,3	7,0
59,6	4,0
59,7	2,8
60,0	2,0
60,4	5,5
60,5	4,0
60,8	4,0
61,2	4,8
61,3	5,0
61,7	4,0
62,0	4,8
62,1	4,5
62,4	8,0
62,8	5,0
62,9	3,5
63,2	7,0
63,6	5,0
63,7	4,1
64,2	2,0
64,4	4,0
64,5	5,5
65,1	3,0
65,3	2,9
65,4	1,0
65,8	2,0
66,1	1,8
66,2	2,0
66,6	3,0
66,9	2,8
67,0	4,0
67,3	5,0
67,7	2,5
68,1	3,0
68,5	3,1
68,6	5,0
68,9	2,0
69,3	1,8
69,4	2,0
69,7	2,0
70,1	2,9
70,2	1,0
70,8	3,0
70,9	1,9
71,0	6,0
71,6	3,0
71,7	3,5
71,8	1,0
72,3	2,0
72,5	2,8
72,6	2,0
73,0	3,0
73,3	2,1
73,4	4,0
73,7	2,0
74,1	1,0
74,2	1,5
74,5	1,0
74,9	1,1
75,0	1,0
75,1	2,0
75,8	1,4
75,9	1,0
76,5	2,0
76,6	2,2
76,7	2,0
77,3	2,0
77,4	2,3
78,2	2,0
78,9	2,0
79,0	2,2
79,1	2,0
79,8	2,2
79,9	5,0
80,0	1,0
80,6	1,5
81,0	2,0
81,3	1,5
81,4	1,5
81,8	2,0
82,1	2,0
82,2	1,8
82,3	1,0
82,5	1,0
82,9	1,0
83,0	1,0
83,1	1,0
83,4	2,0
83,7	1,0
83,8	1,0
83,9	3,0
84,2	1,0
84,5	2,5
84,6	1,0
84,7	1,0
84,8	1,0
85,3	2,0
85,4	1,2
85,5	1,0
85,9	1,0
86,2	1,5
86,3	1,5
86,8	4,0
87,0	4,5
87,1	2,5
87,6	4,0
87,7	1,5
87,8	3,0
87,9	5,0
