Angle	Impulses
a/º	Z/#/0,2s

8,0	169,0
8,1	192,5
8,2	143,5
8,5	106,5
8,6	83,8
8,9	55,2
9,0	43,2
9,3	26,5
9,4	27,8
9,6	28,0
9,7	24,0
9,8	22,0
10,1	21,2
10,2	16,5
10,4	16,0
10,5	12,0
10,6	8,5
10,8	13,0
10,9	6,5
11,0	6,2
11,2	7,0
11,3	6,5
11,4	5,0
11,6	5,0
11,7	4,0
11,8	6,5
12,0	6,0
12,1	2,5
12,2	3,8
12,4	4,0
12,5	4,0
12,6	3,0
12,8	2,0
12,9	3,0
13,0	1,5
13,1	2,0
13,3	4,0
13,4	3,0
13,5	5,0
13,7	2,0
13,8	4,0
13,9	3,0
14,1	3,8
14,2	2,8
14,5	3,8
14,6	5,0
14,9	1,8
15,0	2,0
15,3	2,8
15,4	1,5
15,7	2,8
15,8	3,0
16,1	4,5
16,2	3,8
16,5	2,0
16,6	4,0
16,9	3,8
17,0	2,5
17,3	3,5
17,4	2,8
17,7	4,0
17,8	2,8
18,1	2,8
18,2	2,8
18,5	2,0
18,6	3,8
18,9	2,0
19,0	3,6
19,3	3,2
19,4	3,0
19,7	3,0
19,8	1,2
20,1	2,2
20,2	3,5
20,3	2,0
20,5	2,0
20,6	4,0
20,9	3,5
21,0	3,8
21,3	4,0
21,4	3,5
21,7	3,5
21,8	1,8
22,1	2,0
22,2	1,9
22,5	4,0
22,6	2,2
22,9	4,0
23,0	2,5
23,3	2,0
23,4	3,5
23,7	6,0
23,8	2,2
24,1	3,0
24,2	3,8
24,5	4,0
24,6	2,0
24,9	3,0
25,0	2,8
25,1	2,0
25,4	3,2
25,5	2,0
25,8	3,5
26,2	2,0
26,3	2,5
26,6	3,5
26,7	2,0
27,0	3,5
27,1	2,0
27,4	3,7
27,5	4,0
27,8	4,0
27,9	4,0
28,1	3,0
28,2	4,0
28,3	3,0
28,5	4,0
28,6	3,5
28,7	5,8
29,0	4,0
29,1	3,2
29,4	2,2
29,5	3,5
29,8	3,6
29,9	2,0
30,2	4,0
30,3	2,3
30,5	4,0
30,6	1,5
30,7	3,5
30,9	2,0
31,1	4,5
31,3	3,0
31,5	1,8
31,7	6,0
31,9	5,0
32,2	2,0
32,3	5,0
32,6	6,0
32,7	3,1
33,0	3,5
33,1	4,0
33,4	2,0
33,5	4,1
33,7	4,0
33,9	4,2
34,1	6,0
34,2	7,0
34,3	4,8
34,5	8,0
34,7	4,2
35,0	5,0
35,1	3,5
35,4	6,0
35,5	4,8
35,8	3,0
35,9	3,7
36,1	5,0
36,3	5,8
36,5	7,0
36,7	5,8
36,9	5,0
37,1	6,2
37,3	5,0
37,5	3,0
37,8	8,0
37,9	6,0
38,2	8,0
38,3	4,5
38,5	4,0
38,7	7,2
38,9	8,0
39,1	8,4
39,2	9,0
39,5	10,1
39,6	7,0
39,7	8,0
39,9	13,4
40,2	7,0
40,3	10,9
40,6	10,0
40,7	10,2
40,8	13,0
41,1	17,6
41,2	16,0
41,5	31,6
41,9	61,6
42,3	87,8
42,6	93,0
42,7	123,4
43,1	264,8
43,5	696,8
43,9	771,3
44,0	801,0
44,3	541,6
44,4	595,0
44,7	775,8
44,8	703,2
45,1	379,2
45,2	443,8
45,5	70,5
45,6	83,5
45,9	22,5
46,0	18,0
46,3	14,2
46,4	8,2
46,7	10,5
46,8	10,5
47,1	9,0
47,4	9,0
47,5	6,2
